sentence,label
"The so delicious golden fries seen on television , might actually be pale potato stumps , fried to almost perfection in very , very , very old oil . ",1
"So , I think having self-confidence is more important than having knowledge . ",1
The fact is that it would rain when the specific condition was present .,1
"Sure , both arguments will probably decrease the number of cars , but the strongest argument speaks for itself : China .",0
This will help to create a brotherhood relationship .,1
The government would like to reduce the population with this fishing limits . ,0
"First , we can protect our enviroment by saving oil and gas",0
"In twenty years , they also can give us better cars that consume fewer resources and be more convenient for travel .",1
"When I grow up , I might start to understand that what he said was quite right .",1
But if the student is going only learning things whithout knowing the concept then not any company is give apportunity to that person because he does not know the concept of its related branch so by this way its create a problem in the future .,0
My 1 0th and 1 2th exams were very good . ,1
I have studied for just the examination .,1
This casts doubt in the reading passage 's assertion that fluoride prevents dental cavities . ,1
"Then , auto makers need to develop systems for almost complete safety . ",1
"He could then strive to get practical experience of that field , after all , theory is lame without practice .",1
After majoring in any field of study a student can not adjust immediately in the real world .,1
"They should understand what the ideas and concepts they study mean in the practice , how they can be used and have already been used .",0
Ignorance of striped bass will abbreviate our earning also it has some astonishing effects on our health .,0
"Advertising can be used badly not only by corporations but also by governments , as for exemple the nazi regime .",0
The kids can stay outside every day and play . ,1
"But after a few days , I found myself enjoying it . ",1
Techology has grown so fast because everyone tries to work on an invention due to some ideas he has developed and concepts that have been applied to this idea from different subject areas . ,0
"For example , a man whose hobby is playing football must want to play the ball day until night , and night until day again . ",1
The definication yong or older is not apparent . ,1
I have great influence on my life .,0
I think cars will not be replaced completely by new automobile innovations but they will certaily be in fewer numbers . ,0
"Even if we may fail , we have to try to get new things .",1
"But when teacher ask me did I understand it , I said yes . ",0
an 7unsuspection user cannto tell the entruy has vees tampered with . ,0
"These useful skills that I learned from real life are going to be the greatest gift for my future career , and they cannot be found in textbooks anyway . ",1
There are cars that use gas to power them . ,0
"If older people are more accepting of changes , their lives will become better .",1
"Young has his own field and word on it hard , and do more benefits to the society . ",0
Learn . ,1
One good way to always be safe and have a good time is to travel with a group and chose a good tour guide . ,1
Global warming and green house effects had started recently . ,0
so i think having selfconfdence is more important than having knowledge . ,0
Everybody loves him and he does the same . ,0
"For this reason , the number of cars would be decrease in the future . ",0
"It 's called "" ballast water "" . ",1
It is difficult only to watch educations . ,0
we know that prescribed burning shud be repreated every few years but its very expensive to spent every few year . ,0
"Second , he can not accept that result of lie detectors use as evidence in court .",0
"But then as it has been rightly said by someone "" We are the victims of our own greedy needs "" . ",0
Exactly like master of none and Jack of all . ,0
But i find out that the quality of the bat was very bad .,0
"How they found their workplace or food , so they had no space for their communities in their mind . ",1
"When someone did a legal behavior , he has to justified by law .",0
"Trust me , the god 's will is for the young people .",1
The economy would benefit because this would enable it to have a worldwide compete with the car manufactures . ,0
"Sometimes , even a personality , like a famous actor , becomes this truthworthy voice .",0
The heart disease patients show improvement when they take the placebo . ,1
"In other words , cars would not be of use in the future because of these types of transportation are being developed and invented .",1
It may tell us how large the world it is .,0
It is related strongly to our daily life .,1
"In order to do this , they would need to learn additional skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . ",1
"First reason , students are very critism and always have many ideas to develop her opinion . ",0
"A tour guide is generally a person who knows a great deal about the country , its most beautiful places , most visited ones , and the so on .",0
He will consider himself losing the years that he spent on collecting the money . ,1
"A good company hires goods buzzers , these buzzers do not lie to consumers , that they use there words to let consumers know the goods is real , they do not praise the goods .",1
"For example , in Korea , teachers teach something and students learn what teachers saying without dissussing with students while class .",0
"In a group trip , we are forced to the goup time schedules .",0
"Also , the lecture mentioned that the stone placed between the Sphinx 's front paws was not placed there during the reign of the old kingdom 's king , Khafre .",1
so the information technology and advanced technology are so much increased .,0
"Therefore , I can more enjoy the trip without .",0
"For example , it happened to me when I studied the concept of inflation . ",1
"On one hand you have the general practitioners who look at all the basic problems related to the body while on the other hand you have the specialists who only take care of specific areas whether it be an orthopaedic surgeon ( related to bones ) , a cardiologist ( related to heart ) or an ENT ( ear , nose , throat ) surgeon . ",0
The main reasons are the following .,1
always natural disaster bring economy damage . ,0
There may be global warming because of lack of cooling .,1
I was so mad at the tour so since then I like to travel by myself or without tour . ,0
"We had a lot of conversations concerning the future of this sector , but never detected signs or future plans for the sector which would implicate a decline in the amount of cars .",1
"It is possible that as the energy problem , the people 's live style will be changed .",1
He would never want his business or company to be stagnant . ,0
"I thought that it was kind of ridiculous , but we had to do as the tour guide said .",1
"that would be frequently asked qeuestion , so to answer this question we should be aware of the facts .",0
"During the Mao regime , cars were only accessible for politicians or privileged party members .",1
"Some people dislike traveling in groups , having to follow strict time schedules , and following rules . ",0
"However , I also feel good about this because it shows the huge leap we could make in twenty years , not just small steps .",1
We ca n't image that the world could be changed because of our fast-paced societies .,1
An older person has to give way to a younger one whether he likes it or not . ,1
Comming to atmospere and nature both are same .,0
Many people are killed by cars . ,1
The first clue is that there are rocks near the coast which are considered to be made by Chinese explorers . ,0
I think the shrinking market conditions force car companies to fight harder to survive .,1
"I think this will also give jobs to people , because all car companies would have to adjust to the change from using gas- to water-fuel . ",1
"so , it is important to student",0
"People are not , and should n't be , robots . ",1
"On the other hand , Turkey 's public transportation is developing , especially in the two big cities , Ankara and Istanbul , but it is still nothing compared to Sweden .",1
"However , there are lots of reasons that the placebo effect works . ",1
"When someone has studied more than one academic subject it would be more amazing , interesting , positive , great , and helpful .",1
"Though I am from Fukuoka , now I live in Yokohama in order to go to Yokohama City University .",0
Facts are learned by experinces . ,0
Some people might bring a good plan to you . ,1
"When you understand that ideas are one way that you can figure out about a statement , you appreciate these moments . ",1
The population explosion is another factor catalyzing the consumption of energy resources .,1
So a prohibition would n't solve the real problem .,0
"Because when you understand the whole idea , you can imagine `` How does the theory work ? `` .",1
Students may not understand the facts very well until they understand the ideas and concepts that are related to the facts .,1
"but what about the stress that they have to undergo , the stress related not only for there position in life but fight that they undergo for their ambition .",0
"For example , nursing students study in a nursing college for three-four years . ",0
That 's the way it is .,1
"The second points is about the evidence , according the the passage the evidence that associates the Sphinx with a know Old Kindgom King , and identifies the Sphinx as honoring Khafre , but the lecture says that , these evidence are not strong to accept the point , it is not strong either to accept the Old Kingdom King , Khafre and his stone plaque between the Sphinx front paws carries and identifies the khafre .",0
"Insufficient closet space , inefficient heating and decaying plumbing makes living in old houses harder . ",1
"However , the problem is , if we use prescribed burning as a tool , it requires a lot of money - 10 times more than the normal way .",1
IN CASES LIKE THAT BMW ARE USING ADVERTISEMENTS WAY TO SHOW HOW REALLY IS THE PRODUCT TO THE PEOPLE .,0
Also the youth have less mental pressure . ,0
"That would be a frequently asked question , so to answer this question we should be aware of the facts .",1
"If i want to win a case in court in - for example , a case where technical questions are to be considered- it is not enough to just know about the law . ",0
"Many people surrounding you admire you of your multi-knowledgement , and try to be familiar with you . ",0
Gouverment will try to do something to not pollute the air . ,0
Education is the basis of opportunities and the amount of subjects in which a person has knowledge conditions his or her opportunities in very important aspects of life like work and even helping others . ,0
There seem to be too many hurdles present in the growth of the car industry in recent times .,1
It is said that the zebra mussel from the bottom of the ship moved to the freshwather and devastate the nature .,0
Actually that was an unstable trip . ,1
It is said that the zebra mussels from the bottom of the ship moved to the fresh water and devastated the natural ecosystem .,1
"Thinking of their old age , young people are trying to make a better society for everybody .",1
"With her salary we ca n't buy some cars because we are planning to finish our house in Binangonan , Rizal and I am planning to finish my study in Boston .",1
"it gives him many apprtunites in the life , and i think that being knowledge person is a very wouderful thing to have so we can spend our lives in a successful way and full of happenis .",0
He or she would not be able to discuss spesific problems just because he does not know them .,0
"I once read a report said that during the Vietnam war , more Americans died on roads in their cars than on battlefield . ",0
Do you give it to another person to solve ?,0
"It mentions that now , it has reached to some oarts of North America .",0
"Thus , the environmental issue will encourage more people to consider ways to commute other than driving a car . ",1
"In this case , older people can drink and can go to a lot of place such as night club , bar and so on . ",0
I advice all people to always keep smaile and have fun in this wonderful life god gave us .,0
It is so expensive that it is the only thing those people can do besides their daily living . ,1
"And through text books , students are more engaged .",1
Do we consider her a smart girl ? ,1
Most people do n't care about the environment or how cars greatly affect the ozone layer . ,1
The person who takes many subjects stands az better chanceof getting a job .,0
Many people are willing to buy these cars . ,1
they are the boney and vital part o the society .,0
"By trial and error I succeeded , which gave me a very good feeling about myself .",1
That is the bravery and being interested to all things .,1
Help others and make we all live in a confortable home .,0
These ideas and concepts usually contain academic research which are totally reliable and dependent on the facts . ,0
"This shows that people are aware of the disadvantages of getting old &raspsquo; among them getting less pleasure from life , and try to delay or disguise it in any possible way . ",0
One reason is that endangered animals are breaking nature . ,1
What would be the environmental impact ? ,1
It usually makes them more positive to do it . ,1
"If they really interested in these courses , it 's all right .",0
People who are trying to get into good university study by themselves everyday while I play around without reviewing and studying . ,0
"In other words , the image in the TV comercial is the most important point that the watcher determine whether he/she but it or not .",0
"When the forest is caught on fire , the wood turns into ashes , which is potassium . ",1
In the oldage the people have leave all the burdens and they are spending their own interested work . ,0
"there are many people like me , then fashion market will become develop . ",0
"But generally , moments of happiness in life can not really be compared because they are different .",1
"Therefore , people will be able to live with the automobile society and the nature for the future . ",1
But it depends on what level we have gained this knowledge .,1
So only time will tell what actually happens . ,0
Very soon they will run out at the current rate of utilisation . ,0
is it right ? ,0
menhadens are the primary source of protein for the livestocks and poultry . ,0
They will not be able to compete with other similar brands and the product will fizzle out or die .,1
I would have a variety of answers that would be subjective to every person 's field of interest . ,1
"So if you want me to choose right now , I will choose ordinary milk instead of that special kind . ",0
This will reduce the pollutions caused y the carbones from the cars . ,0
"But that is a different situation , because at this stage , the graduate will have already guaranteed his/her bachelors ' degree . ",0
"Second , if there is any problem with the goods . ",0
"I think cars will not be completely replaced by new automobile innovations , but they will certainly be fewer in numbers . ",1
It 's modern life now . ,1
I answered the question and got a good response from both the lecturer and my friends .,1
but after a while the found out its not true .,0
"For example , I prefer to specialize in public relations which helps me in my personal life , and how to treat other people .",1
They have to consider the negative side of their suggestion . ,0
"As a result , it will be easier for you to learn many things . ",1
"In the passage , it is said that only endotherm animals can maintain their temperature in such cold climates .",1
The same will happen to taxation on cars and gasoline . ,0
this will the proof of speeding offense so that polices can easily catch them. . ,0
You will learn to socialize with people .,1
There seem to be too many hurdles preventing the growth of the car industry in recent times .,1
First reason being that students are very open to criticism and always have many ideas to develop their opinions . ,1
Its cost is half than other but lifecycle is the same . ,0
I chose law and began to study everything about Italian law . ,1
They will not be able to compete with other similar brands and the product will fizzle out or die .,0
And you can have a chance to get a person to help you .,1
"Young people are still trying to obtain experience , while older people have it already . ",1
"Although understanding the concepts is important , sometimes facts are the only solution for them to learn .",0
"To this day , I still remember what we studied that day in class .",0
And to do that we need to move . ,0
"By keeping his focus on one industry and one subject , he ensures that he is up-to-date and fully aware of all the current happenings in the industry or subject . ",0
This is important thing . ,0
One of them is the long term wastefulness of the process . ,1
"If they teach them , they will never forget and it is beneficial for our country .",1
The first is our life condition .,0
"Secondly , Earth ground had heat .",0
I myself like to participate in this kind of activities and meet many people who would like to do them . ,1
"If students just learn facts , they will soon forget them , but this will not happen as easily if they properly understand the concepts behind the facts . ",1
Disadvantage is parking their car is very difficult .,0
Government uses that money for public uses and safety . ,1
"They need cars for many things , such as transportation , entertainment and business . ",1
"With this population increase , more cars will have to be available to meet the needs of the people .",1
"For the greeks philosopher Plato an Aristotle , the capacity for understand ideas and concepts , the intelligence as the main ability of the human soul , is the part of ourselves that makes us the being we actually are .",0
They only care if the effects are good and popular among the crowds .,0
"Nevertheless , this city is undergoing a big change .",1
"For example , when I traveled to France and Italy alone , I met a person in Nice who was a famous producer of the song , "" In Taiwan "" . ",1
There is a greater population in every area . ,1
"Because of fast-paced societies , we ca n't image what the world would be changed .",0
"One of them was my friend , who had serious problems with her health .",1
Movies and other television shows provide a lot of information about how real life is . ,1
I think they have to put skill into it . ,1
"First , teachers find the right way to teach us , and every teacher gives students confidence . ",1
"Even though the place I went was Kyoto which is most beautiful city in Japan and they have most valuable and interesting temples , nothing really remein in my mind after the trip because I was just part of the group and following a tour guide without thinking . ",0
"Successful therapists need to know that one treatment can help one person , but for another could be inappropriate . ",1
"Today they are using this as a curative measure , but due to the increasing importance of preventive medicine , normal , healthy individuals are also attracted to the idea of not using cars when possible . ",1
"In extreme cases , some even gain weight because of this . ",0
Do I want to risk my 2 years savings for a trip to Spain or do I want to use my kids college fund to start up my business ?,0
Any user who has used any toothpaste definelty knows that this can never be true . ,0
Realist people can be more successfull as we can see in history . ,0
"When I was a senior high school student , I spend all of my time studying textbooks for the tests . ",0
In studing the processes underlying biochemical pathways knowledge of biochemistry is required which is an integration of biology and chemistry .,0
They are moved by solar energy .,1
They have to think twice before performing even routine activities of life . ,0
this speace must change gerden .,0
But it is very different from that one in the passage . ,0
They explain specific points by using examples of the dinosaurs behavior and physical appearance . ,1
It is composed by not only senior but also University students . ,0
"When I was a senior high school student , I spent all of my time studying textbooks for the tests . ",1
"What we do now , we will be able to do later . ",1
For example in a science subject it is necesserary that the students understand the way if not they ca n't follow the teacher .,0
"Every time when we meet , I will look forward to the new things . ",1
Maybe I can not enjoy in real meaning and I am tired .,0
Everybody deserves to enjoy life .,1
We do n't usually study these subject very deaply . ,0
There are two major reasons : it is profit to socialization and mental health . ,0
"For example , my parents went to a group tour to my country in Korea last summer . ",0
Who can say no to a business that can make your life safer ?,1
"For example , if you understand the idea that all diseases , caused by microorganisms , are treated with the antibiotics , you will never use antidepressants .",0
"Therefore he likes to do risky and strange things , and he enjoys it . ",1
"If I travel in a group by a tour guide , I will be limit a time .",0
Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,0
"In order to maintain old buildings , it costs a lot of money .",1
Why should I do that ?,1
"Inorder to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . ",0
"For example , work on a project .",1
"For example , the hamburgers in the commercials and menus look way more juicy , neat , and fresh than the ones you buy .",0
"First , the hunter is the most dengres things in this world for the bird . ",0
Its not incorrect to say that the world is losing some great support system to which the young people can greatly contribute .,0
And it is important to have emotions in classes like history or social studies . ,0
"For example if my friends talking about their proplem about computer issues , I will give them an advices about how to solve the prople or just to listen to and understand them will also help the to be comfortable in our meeting .",0
For exsample I like to go to a big city like New York .,0
Most people do n't care about the environment or how greatly using cars affects the ozone layer . ,1
Therefore people will be able to live with the automobile society and nature for the future . ,1
They have limit to way which have meaning and function like a word .,0
"When someone engages in illegal behavior , he has to be served justice by the law .",1
"As the professor said , pressure in the water is another reason to create an explosion .",1
if they do thing they go for another untill they know how it woek and what is useful think of it . ,0
"So lets not lose hope and let the scientists do the job , but i think being in a traffic jam is a stressfull situation it requires time and patients and there are many more disatvantages about the large number of cars . ",0
It is very important for theme to understand ideas and concepts than it is for them to learn facts .,0
"As a result , young people feel less sense of competition for a place in universities .",1
"In early industry , a lot of warker worked together . ",0
"Today , MBA students with a background in engineering are in high demand . ",1
"Second , if park has fires , animal that in the park do n't survival .",0
"In the passage , it is said that only endothermic animals can maintain their temperature in such cold climates .",1
"Sometimes , it is very comportable but , it 's not important for me .",0
"Always , the natural disaster brings economic damage . ",1
"However , the importance of the knowledge of facts can not be underestimated .",0
The operation room is not a bookmaker 's office or lottery house . ,1
"However , I firmly believe that traveling with a guide is quite beneficial because of the possibility of traveling to many places in a short time and in safety .",1
"First of all , He argued that Amrican will not ignor the `` ecocertified '' as there are so many advertisiment now .",0
They are very young and they do not have a job so they can not finish their studying .,0
"They do not have to go to work everyday , so instead they can go see a football game in a different city .",1
That means people have something that is specializing in one subject could get more chance of hirring . ,0
They were driven to settlements in other domains .,1
in the fact the matter that alot of acadmic subject can not be used seperatley . ,0
I ordered them and was promised that they would be delivered to my house in a few days . ,0
"first , theacher is make a right way give to us , so every teacher is make a confidence to students . ",0
She also uses this to challenge the reading passage .,1
Everything is possible which we ca n't imagine .,1
They make very high profits year after yaer and the numbers also increase year after year . ,0
This degree would enable me to branch out and look into other fields that involve some basic engineering .,0
"When we talk about the so-called value of a product , we envision a scenario where dozens of products are available in supermarket shelves and when you switch on a television , there is an endless stream of commercials , each claiming exciting new features about the products advertised .",0
We alwayse joke around or doing something stupid .,0
"And when we want those energy sources , we need to extract them from the ground and soil or oceans , because those energy types are found in those places . ",1
"Second , birds navigate by landmarks like rivers , coastlines , and mountains .",1
This will help to create relationships like brotherhood .,1
"Tour guides are generally trained and certified by some supervising entities , therefore they are expected to be ready to provide the best possible guide to their customers . ",0
I have specific reasons for this .,0
"For example , when I traveled to France and Italy alone , I met a person in Nice who was a famous producer of songs in Taiwan . ",1
This happens more when one is watching a movies with the family .,0
Most people do n't care about the environment or how cars affect the ozone layer greatly . ,1
Like disking would stop an advancing fire . ,0
"If someone does n't know , eating is very important for growth , bones and brain , and in general for the body . It is a fact that eating is just useful .",1
"In America , a lot of families have more than one car , and some of them even have three or four .",1
I expect human can make new material to replace gas but it is very difficult .,0
He has a lot of money and fame but no family life . ,1
this economics system is the best . ,0
"Also , they can go shopping and buy new fashionable clothes . ",1
That seems to be what people live for . ,1
The scraping will causes heat and that heat(energy) will go into the car . ,0
"Traveling in a group , especially with a tour guide , helps make our trip more productive .",1
Developing communities want to build more modern buildings .,1
Not that bungee jumping is something that every young person wants to do but even if he wanted to do it he probably would n't be able to . ,0
"On a group trip , we are forced to adhere to time schedules .",1
They explain the specific points useing the examples about dinosaurs 's behabiar and physical face . ,0
"Therefore , I support the statement that it is more important to understand ideas and concepts than it is to learn facts . ",1
We can use it .,0
The first theory is that birds navigate in reference to celestial objects like the sun and stars .,0
And to do that we need to move . ,1
Maybe they have some disadvantages in humanity .,0
"By keeping his focus on one industry and one subject , he ensures that he is up-to-date and fully aware of all the current happenings in the industry or subject . ",1
The same will happen to taxation on cars and gasoline . ,1
"But the owner of one car dealer shop offered him another job , with better conditions and benefits . ",1
"Comparing with older people , they do n't even have enough time to enjoy their life . ",0
And people can not ready to pay the taxes . ,0
I think that young people are not able to think as deeply about things as older people . ,1
It is very important for them to understand ideas and concepts than it is for them to learn facts .,1
The even ask themself how this kind of things did n't cross their mind .,0
I strongly believe that in twenty years there will be fewer cars in use than there are today because of the damage decrements and technology replacement .,1
I think it 's harder for successful people to risk something that they could lose much more than others . ,1
"Although the weatherrealted factors could be considered , such as the land shape of the area . ",0
And I completely disagree with what the author wanted to say .,1
First effection is grobal warming . ,0
They would not be able to discuss specific problems just because they did not know them .,1
In today 's world whe have just developed the first aspect . ,0
"For these reasons , the passage said that it is time for the state to take measures to reduce the quantity of sulfur dioxide . ",1
I was very fast and my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . ,1
Others who do n't understand this concept sell uncertified wood . ,1
Many people whaching advertise .,0
"Unfortunately , almost all older people can not use the internet in spite of the benefits .",1
The sulfur dioxide is generated by several natural processes and several human processes . ,1
Because one time you get success and next time will why not ? ,0
So the importance of communities in sosiety decreased . ,0
"Lsat but no least , zenra mussels are likely to cause a decline in the overall fish population in habitats where they become dominant .",0
"Otherwise , it will be a problem for us to understand certain thing in life . ",0
"Indeed , they threat a lot of freshwater fish species because they need to eat and to find different kinds of food in the ocean .",1
And I am completely disagree with what the auther want to say .,0
A disadvantage is that parking their cars is very difficult .,1
I think the shrinking market conditions force car companies to fight harder to survive .,0
Recently scientist have been working on new generation lie detector that can perform brain- scanning to find out if person telling the true . ,0
You can buy a vavilla cake in a fine store and another vanilla cake in the regular store .,0
"For example , they can read again if they want and back to the page that they can not understand or they are impressed . ",1
he is a specialist in computer program but he do not know about other field .,0
"So lets not lose hope , and let the scientists do their job. However , I think being in a traffic jam is a stressful situation. It requires time and patience , and there are many more disatvantages about the large number of cars . ",1
"Also , students , by paying more attention to understanding ideas and concepts , will not only comprehend the facts they are given , but also acquire the skill of understanding , which can be applied in all areas surrounding them .",0
They are not stop at the same . ,0
"You can only be successfull by learning new stuff and trying it too , by being an open and creative mind .",0
There are cars that are powered by gas . ,1
I dont have a car but i dreaming it off .,0
"For exemple , you were working like broadcaster but in the office and city where you are working . ",0
"That is why calculated risks , as one could call them , are the predecessors of big success , because they get people 's attention by giving people new options .",1
Throughout our lives we need to talk about our families . ,1
"In my opinion , cars will be took full use of in the twenty years . ",1
"Thus , we begin to share a information and ask own 's weaker subject . ",0
"I think cars will not be completely replaced by new automobile innovations , but they will certainly be fewer in numbers . ",1
Comsumers are not likely to buy a pair of trousers when the claim is that they will increase capacity to fly . ,0
"However , I prefer traveling by myself starting with joy-filled preparation . ",1
It is said that the zebra mussel moved from the bottom of the ship to the freshwater and devastated the environment .,1
"But if he majors in art and also learns something about natural science , he will be lucky to be equipped with the ability to think more logically . ",1
You will learn to socialize with people .,1
"Without the empirical experience , i think , the learner tend to forget all the information he or she have learned throuhout his or her learning process in a long term .",0
"alternative Reading passege emphesize about alternative to priscibing burning by giving some turm like "" disking "" in this fire clear out dry and dead shrub and stimulate the growth of new plant life . ",0
"Now a days , there are many people who think they are the most important thing and they only have to work for themselves . ",0
"However , what makes a student excellent is to both understand the concept , and learn the facts .",1
"For example , they can read again if they want , and back to the page that they can not understand or they are impressed . ",0
"So , Ho Chi Minh city will develop . ",1
I have an IBM computer and my laptop is a Dell .,1
We seem to have a lot of problem with those even if we have more good materials than in the past .,0
But the only reason is that they never give up .,1
Such people impressed others through their strong will and devotion to duty .,1
That means if I have an broad knowledge in politics then I m aware that 'where to speak what ' .,0
Among the many skills required is the knowledge of more than two languages .,1
we cant stay on the internet for long time . ,0
In this moment become business became online-business .,1
New and new technology has been introduced to the society .,0
"It 's normal : propose something to the client and construct something different , it is the best way ( and it 's legal ! ! ! ! ! ! ! ! ! ) . ",1
"There will be a lot of members that will have gone to the surface of the Moon , and they will return safely to Earth . ",1
This creates people to fall into peer pressure . ,1
"Due to this , I feel that specialized students have more opportunity in future .",0
"For example , smoking ; I know that smoking is bad .",1
We still don`t know aliens to be or not to be in our solar system .,0
I could very easily understand why he would always bring bad marks home . ,1
"After I consumed that drink , then I came to know that we should not believe the advertisements . ",1
"But in my opinion , if you want be a succussful people , you should have brave to try new things and take risks . ",0
"I like about that , but after that it 's gradually starting boring and finally I did n't have interesting about all the stuff .",0
More information on how can we get it is the important thing .,1
One of the most important problem is accidents for sure everyday millions of people dies jus because of the drivers not being careful as a matter affect i do believe that there will be less cars in twenty years but this will happen just for one reason that we will use something else .,1
For example when you read your school 's book as a first time you will not understand any thing but when read it second time you understand it .,0
This demonstrates the undeniable fact that it is beneficial to have different experiences .,1
"These thing seem too hard for old people , because they move with so much difficulty and do n't have health bodies to play sports .",1
This implies that there can be instances were no such overstating take place at all .,0
So their parents will buy for them .,1
The information technology and advanced technology have increased .,1
The cutting of dead trees is called salvage logging .,1
Obviously the unreplaciable examination and less enemy can bring huge advance to fulfill the defination about success .,0
"For example , many scientists and engineers study cars that make no more tough sounds or smoke .",1
"For example , if you understand the idea that all diseases , caused by micro organisms , are treated with antibiotics , you will never use antidepressants .",1
"In my opinion , i agee with the statement , most advertisement make products seem much better than they really are .",0
"We seem to have a lot of problems with those , even though we have more good materials than in the past .",1
"So , if I have a lot of information about this subject , I will talk with too much knowledge but if I have only general information for this subject , I will talk with only my limited knowledge and in this case may be ashamed like when my brother asked me about something but I did not have a lot of information on the subject .",1
"Due to this , I feel that specialized students have more opportunities in the future .",1
Our group decided to open Waseda Cafe .,1
"For example , little children are told that do not cross the street at red light , because it is so dangerous that we cannot let kids learn from crash . ",0
I am pleased to know intelligent peple and learn about things which I do n't know .,0
It 's not really good .,0
"To do so , companies must present their products in a better light than they really are as otherwise , the company 's future including that one of the employees might be at risk .",0
Traveling is very importen to the peoples to know about world and in group ti could be might as well .,0
So people who do not give enough time to helping their communities should repair this .,1
Younger people are still trying to obtain the experience that older people have . ,1
"Also , sometimes , people may meet some new friends in the traveling group . ",0
"But even if this student passes the course , he/she will not be a successful lawyer in the future in the area of contracts . ",1
She know just that what teacher has told her but no more . ,0
Because in competition Man want everything better than his competitor .,0
"On the other hand , if you specialize in one specific subject , such as physics , you will never help him .",1
They have a broader spectrum of ideas that they can develop into competences throughout their student life . ,0
"In America , alot of family have more than one cars , and futhermore some of them have three or four .",0
Can you ever visualize what a chaos our society would suffer if every individual considers himself/ herself an expert in every given field ?,0
"Thinking of their old ages , young people are try to make a better society for everybody .",0
I give some of my time to help other people because I think it 's very important .,1
Let us think of music as a metaphor for all the areas of knowledge and the different instruments as metaphors for all the separate disciplines .,1
It 's modren life now . ,0
To maintain the products more valuable they have sometimes use strategies to keep the clientele with same enthousiasm .,0
"For example , here is one student , who knows the facts but does not know how to use them .",1
"But generally , moments of happiness in life can not really be compared because they are different .",1
Obviously the irreplaceable examination and less enemies can bring huge advances to fulfill the definition of success .,1
"Last month , I needed to buy digtal-camera .",0
You have 30 typically an effective response will contain a minimum you will be satisfy culture experience and fit your test .,1
People like these often get bored listening to the tour guides lectures that sometimes resemble a monologue learned by heart for a class .,0
"For older people , the phone 's only function , in some ways , is a job or project , where a master will call on him to help with related jobs . ",1
Our current status of living is highly energy intensive .,0
"Nevertheless , this city is going through a big change .",1
"However , I have different way of thinking toward the quote .",0
If any problem occurs in older age it is very difficult one to them .,0
"For example , smoking : I know that smoking is bad .",1
"For example , in math club , teachers usually teach us how to solve a math problem using different methods .",1
"For the these reasons , I have to take high score on TOEFL . ",0
The professor needs them to do a project . ,1
Maybe one day there will be a tool that will take us anywhere we want in only a few seconds .,1
"I think it is very hard to make the point and to make everyone understand , because when a few people started to do so , they thought it was not fair at all that they are the few who are suffering , other people cannot get it and continue doing the same thing , it just makes those people think stupidly . ",1
"Next , kids are more attracted to the advertisements . ",1
"Next , kids are more attracted to the advertisements . ",1
People use the public water to drink water . ,1
Court coats are very high and many number of desputed tickets are seen .,0
Actual market requires more specific knowledge that broad knowledge . ,0
"But , on the contrary , he argues that fluoride also has some disadvantages .",1
Big farming are using more chemical products and substances to feed fish .,1
I can remember that from a lecture I attended .,1
"For instance , many people use airplanes , ships , and trains . ",1
"In my case , when I did a job interview , the employer ask me question about commensence like society , policy , art , and so on . ",0
for example a reasercher that wants to be successfull must take risk .,0
And what is more effective than loads of people working towards the same aim ?,0
"In old times , families tended to live in the same place for ages . ",1
"However , people do n't know there and they do n't know how to do is better or what they ca n't to do . ",0
"Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . ",0
"First is how to release the drugs as fast as possible ; in order to sell drugs and make money , the government requires a certain amount of testing to be done before the drugs are released , and this delays the date of release .",1
"and i had listen "" success attract success and money attract money "" ",0
"So , to achieve that goal , different techniques are used . ",1
"Secondly , the information in videos is delivered in format and is very familiar to students . ",1
There was no promise of morning except when we looked up through the trees and saw how low the forest had swung . ,1
He 's the one who can give the different specialities the possibility to shine .,0
This inadequate amount of fuel force us to use less cars .,0
"As a result , she could get a job that she badly wanted but she did n't expect to get because many people flocked to this company .",1
We do n't usually study these subjects very deeply . ,1
"After this effort , many companies in the world started actions to get this eco certified . ",1
"For these reasons , I disagree that young people have more fun than old people .",0
"However , there were n't any particles . ",1
The most important thing that you can do is not to call him a baby .,1
We can see young people working in other countries or working for others with tools like telephones or the internet even if they look like they spend their time just for themselves by spending the whole day in their room . ,1
When older people think like that it 's make big problem with yong people . ,0
"Such unwritten law is furious , but our world is furious . ",1
When they down to the forest then produced fire .,0
"for example if successful people do n't try new things how people could do the airplane , cars , computers , etc .",0
"In my opinion , the need for community service and volunteerism arises in the absence of adequate resources or when somebody is not fulfilling their responsibilities . ",1
"While at university , he might specialize in a subject , while still taking a number of diverse other courses . ",0
It will be always be able to pull things for them . ,1
"He or she can help me in languages , introducing specific beautiful places , what the special food in that country is , and how about that country 's culture .",0
Early signs can already be seen .,1
The reasons and examples will show this essay to support my opinion .,1
Both the lecture and the reading argue that other archaeological monuments in the area are from the Kingdom period .,1
and we says that these countries gonna be the next developed countries . ,0
